id,name,category,price_1_2_days,price_3_4_days,price_5_plus_days,monthly_rent,deposit,fuel_type
1,모닝,경차,70000,65000,60000,550000,300000,가솔린
2,스파크,경차,70000,65000,60000,550000,300000,가솔린
3,레이,경차,70000,65000,60000,,300000,가솔린
4,베뉴,준중형,80000,75000,70000,,500000,가솔린
5,K3,준중형,80000,75000,70000,650000,500000,가솔린
6,아반떼 AD,준중형,80000,75000,70000,,500000,가솔린
7,아반떼 CN7,준중형,90000,85000,80000,700000,500000,가솔린
8,소나타 뉴라이즈,중형,90000,80000,70000,,500000,가솔린
9,K5 2세대,중형,90000,80000,70000,700000,500000,가솔린
10,SM6,중형,90000,80000,70000,,500000,가솔린
11,소나타 DN8,중형,100000,90000,80000,800000,500000,가솔린
12,K5 DL3,중형,100000,90000,80000,,500000,가솔린
13,THE 2020 K5 DL3,중형,110000,100000,90000,900000,500000,가솔린
14,2026 소나타 The Edge,중형,110000,100000,90000,900000,500000,가솔린
15,그랜저 IG,준대형,110000,100000,90000,900000,500000,가솔린
16,더 뉴 그랜저 IG,준대형,120000,110000,100000,1200000,500000,가솔린
17,GN7,준대형,150000,140000,130000,1500000,500000,가솔린
18,QM6,SUV,110000,100000,90000,,500000,가솔린
19,더 뉴 스포티지,SUV,120000,110000,100000,1000000,500000,가솔린
20,싼타페 TM,SUV,120000,110000,100000,,500000,가솔린
21,싼타페 TM(풀옵션),SUV,130000,120000,110000,1300000,500000,가솔린
22,스포티지,SUV,130000,120000,110000,,500000,가솔린
23,MX 싼타페,SUV,150000,140000,130000,1500000,500000,가솔린
24,팰리세이드,SUV,150000,140000,130000,1500000,500000,가솔린
25,2026 팰리세이드,SUV,170000,160000,150000,1500000,500000,가솔린
26,모하비 더 마스터,SUV,150000,140000,130000,1500000,500000,가솔린
27,GV80,SUV,250000,240000,230000,2500000,1000000,가솔린
28,G80,대형,200000,190000,180000,2500000,1000000,가솔린
29,E250,대형,250000,240000,230000,,1000000,가솔린
30,G90,대형,250000,240000,230000,3000000,1000000,가솔린
31,S350,대형,500000,490000,480000,6000000,2000000,가솔린
32,더 뉴 카니발,승합차,130000,120000,110000,1300000,500000,가솔린
33,더 뉴 카니발 4세대,승합차,150000,140000,130000,1400000,500000,가솔린
34,2026 THE NEW 카니발,승합차,170000,160000,150000,1500000,500000,가솔린
35,스타렉스 12인,승합차,130000,120000,110000,1300000,500000,가솔린
36,스타리아 11인,승합차,170000,160000,150000,1500000,500000,디젤
37,솔라티 15인승,승합차,300000,250000,200000,,500000,가솔린
