표 1
순번,차량명,차량연식,차량번호,차대번호,교체키로수,실키로수 ,교체주기,,,,,,,,,,,
1,쏘나타,2018,24호5686,KMHE341DBJA381649," 	72,760 BAM "," 	76,756 BAM "," 	3,996 BAM ",매각,,,,,,,,,,
2,E250,2021,160하4260,W1K2130451A967344/5," 	48,130 BAM "," 	56,551 BAM "," 	8,421 BAM ",,,,,,,,,,,
3,쏘나타,2019,44하0182,KMHE341DBKA548119," 	63,000 BAM "," 	74,966 BAM "," 	11,966 BAM ",대부,,,,,,,,,,
4,스파크,2020,128하1300,KLYDC487DLC013617," 	22,400 BAM "," 	33,974 BAM "," 	11,574 BAM ",창의,,,,,,,,,,
5,스파크,2020,128하1301,KLYDC487DLC013650," 	30,389 BAM "," 	32,808 BAM "," 	2,419 BAM ",,,,,,,,,,,
6,모닝,2020,128하1308,KNAB5511BLT670141," 	45,270 BAM "," 	59,183 BAM "," 	13,913 BAM ",,,,,,,,,,,
7,모닝,2020,128하1311,KNAB5511BLT652140," 	50,448 BAM "," 	53,360 BAM "," 	2,912 BAM ",,,,,,,,,,,
8,모닝,2018,66하1833,KNAB5511BJT429217," 	74,891 BAM "," 	76,644 BAM "," 	1,753 BAM ",,,,,,,,,,,
9,레이,2020,128하1312,KNACG811BLT231055," 	43,982 BAM "," 	43,982 BAM ", 	- BAM 0,,,,,,,,,,,
10,K3,2020,128하1302,KNAF141BELA896091," 	53,245 BAM "," 	55,388 BAM "," 	2,143 BAM ",,,,,,,,,,,
11,K3,2020,128하1303,KNAF141BELA896089," 	62,014 BAM "," 	62,014 BAM ", 	- BAM 0,,,,,,,,,,,
12,아반떼,2020,128하1447,KMHD741EELU052702," 	42,000 BAM "," 	57,019 BAM "," 	15,019 BAM ",미진,,,,,,,,,,
13,아반떼,2020,128하1448,KMHD741EELU052699," 	67,972 BAM "," 	67,972 BAM ", 	- BAM 0,,,,,,,,,,,
14,쏘나타(DN8),2020,128하1306,KMHL341DBLA085747," 	57,032 BAM "," 	59,870 BAM "," 	2,838 BAM ",,,,,,,,,,,
15,쏘나타(DN8),2020,128하1307,KMHL341DBLA069338," 	62,339 BAM "," 	65,436 BAM "," 	3,097 BAM ",,,,,,,,,,,
16,쏘나타(DN8),2020,10하0201,KMHL341DBLA023786," 	80,112 BAM "," 	83,773 BAM "," 	3,661 BAM ",,,,,,,,,,,
17,K5(2세대),2019,63하6115,KNAGS416BKA266548," 	79,542 BAM "," 	92,253 BAM "," 	12,711 BAM ",서인천,,,,,,,,,,
18,K5(DL3),2020,128하1083,KNAG541BBLA011510," 	59,000 BAM "," 	60,074 BAM "," 	1,074 BAM ",,,,,,,,,,,
19,K5(DL3),2020,128하1084,KNAG541BBLA010982," 	66,343 BAM "," 	74,165 BAM "," 	7,822 BAM ",,,,,,,,,,,
20,K5(DL3),2020,128하1086,KNAG541BBLA011509," 	52,809 BAM "," 	62,391 BAM "," 	9,582 BAM ",,,,,,,,,,,
21,SM6,2020,128하1078,KNMA4C2CMLP037663," 	52,877 BAM "," 	55,727 BAM "," 	2,850 BAM ",,,,,,,,,,,
22,그랜저(IG),2019,10하0200,KMHF641NBKA253670," 	54,133 BAM "," 	62,893 BAM "," 	8,760 BAM ",,,,,,,,,,,
23,그랜저(IG),2018,24호5688,KMHF641NBJA073174," 	73,958 BAM "," 	83,103 BAM "," 	9,145 BAM ",,,,,,,,,,,
24,그랜저(IG),2018,24호5711,KMHF641NBJA083069," 	79,763 BAM "," 	89,647 BAM "," 	9,884 BAM ",,,,,,,,,,,
25,GN7,2023,125호5861,KMHN241DBPA008746," 	20,631 BAM "," 	20,207 BAM ",-	424 BAM ,,,,,,,,,,,
26,더뉴그랜져,2020,128하1097,KMHF241NBLA328544," 	51,643 BAM "," 	58,769 BAM "," 	7,126 BAM ",,,,,,,,,,,
27,더뉴그랜져,2020,128하1098,KMHF241NBLA328506," 	53,755 BAM "," 	61,332 BAM "," 	7,577 BAM ",,,,,,,,,,,
28,그랜저(IG),2019,128하3563,KMHF641NBKA288017," 	50,381 BAM "," 	59,394 BAM "," 	9,013 BAM ",,,,,,,,,,,
29,그랜저(IG),2019,145하1900,KMHF641NBKA287872," 	49,307 BAM "," 	52,341 BAM "," 	3,034 BAM ",,,,,,,,,,,
30,K8,2021,160하4266,KNAM241FBNA008938," 	51,961 BAM "," 	54,387 BAM "," 	2,426 BAM ",매각,,,,,,,,,,
31,K9,2019,63하6170,KNAS1418BKS009099," 	73,229 BAM "," 	73,391 BAM ", 	162 BAM ,매각,,,,,,,,,,
32,G90,2021,128허1518,KMHG141DBMU083658," 	45,793 BAM "," 	52,067 BAM "," 	6,274 BAM ",,,,,,,,,,,
33,더뉴그랜져,2020,128하1548,," 	50,087 BAM "," 	50,849 BAM ", 	762 BAM ,,,,,,,,,,,
34,쏘렌토,2018,22호1562,KNAPG81BBJA389809," 	99,718 BAM "," 	102,303 BAM "," 	2,585 BAM ",,,,,,,,,,,
35,쏘렌토,2019,63하6185,KNAPG81BBKA525188," 	97,514 BAM "," 	97,417 BAM ",-	97 BAM ,,,,,,,,,,,
36,싼타페,2019,54호0117,KMHS281BBKU154519," 	77,087 BAM "," 	85,378 BAM "," 	8,291 BAM ",,,,,,,,,,,
37,QM6,2020,128하1075,KNME5C2CXLP026634," 	44,617 BAM "," 	48,843 BAM "," 	4,226 BAM ",,,,,,,,,,,
38,QM6,2020,128하1076,KNME5C2C7LP024534," 	39,578 BAM "," 	41,967 BAM "," 	2,389 BAM ",,,,,,,,,,,
39,QM6,2020,128하1077,KNME5C2C1LP026425," 	42,058 BAM "," 	45,485 BAM "," 	3,427 BAM ",,,,,,,,,,,
40,베뉴,2020,128하1304,KMHRA813ELU049621," 	58,846 BAM "," 	60,955 BAM "," 	2,109 BAM ",,,,,,,,,,,
41,베뉴,2020,128하1305,KMHRA813ELU048997," 	51,000 BAM "," 	56,794 BAM "," 	5,794 BAM ",,,,,,,,,,,
42,더뉴카니발,2020,128하1081,KNAMB81ABLS650466," 	104,703 BAM "," 	111,342 BAM "," 	6,639 BAM ",,,,,,,,,,,
43,더뉴카니발,2020,128하1082,KNAMB81ABLS648184," 	103,464 BAM "," 	102,696 BAM ",-	768 BAM ,,,,,,,,,,,
44,그랜드스타렉스,2020,74허5262,KMJWA37KBLU148464," 	88,879 BAM "," 	88,197 BAM ",-	682 BAM ,,,,,,,,,,,
45,그랜드스타렉스,2021,74허5263,KMJWA37KBMU152812," 	74,109 BAM "," 	76,821 BAM "," 	2,712 BAM ",,,,,,,,,,,
46,GV80,2021,160하4268,KMTHC81CBMU065517," 	42,661 BAM "," 	49,903 BAM "," 	7,242 BAM ",,,,,,,,,,,
47,더뉴카니발,2021,145호5214,KNAME81ABLS647677," 	78,646 BAM "," 	87,110 BAM "," 	8,464 BAM ",,,,,,,,,,,
48,그랜저(IG),2021,146하1442,KMHF641NBMA419812, 	1 BAM , 	1 BAM , 	- BAM 0,,,,,,,,,,,
49,S350d,2022,169하6900,W1K6F3AB2NA136180," 	15,800 BAM "," 	16,608 BAM ", 	808 BAM ,,,,,,,,,,,
50,모하비,2021,146하1419,KNAKN814DMA218682," 	45,326 BAM "," 	49,890 BAM "," 	4,564 BAM ",,,,,,,,,,,
51,싼타페,2021,146하1441,KMHS381HGMU357346," 	37,871 BAM "," 	47,824 BAM "," 	9,953 BAM ",,,,,,,,,,,
52,포터(카고),2022,840수5324,KMFZCZ7KBNU972509," 	21,004 BAM "," 	24,403 BAM "," 	3,399 BAM ",,,,,,,,,,,
53,포터(탑차),2022,826나1489,KMFZSZ7KBNU975910," 	12,482 BAM "," 	18,472 BAM "," 	5,990 BAM ",,,,,,,,,,,
54,E250,2023,169호5889,W1KZF4FB0PB109956, 	- BAM 0," 	14,564 BAM "," 	14,564 BAM ",,,,,,,,,,,
55,신형카니발,2023,160허4196,KNANB813BPS262170," 	33,462 BAM "," 	39,344 BAM "," 	5,882 BAM ",,,,,,,,,,,
56,스포티지하이브리드,2023,169호5891,KNAPW81GBPK049196," 	22,274 BAM "," 	22,341 BAM ", 	67 BAM ,,,,,,,,,,,
57,GN7,2023,175호3524,KMHN141EBPA027363," 	9,712 BAM "," 	11,714 BAM "," 	2,002 BAM ",,,,,,,,,,,
58,E250,2023,169호5945,W1KZF4FB2PB126077, 	1 BAM ," 	8,196 BAM "," 	8,195 BAM ",,,,,,,,,,,
59,쏠라티,2023,702호2150,KMJUG17RPPC005659," 	24,485 BAM "," 	24,485 BAM ", 	- BAM 0,,,,,,,,,,,
60,아반떼(CN7),2023,125호5862,KMHLM41EEPU494989," 	11,993 BAM "," 	18,705 BAM "," 	6,712 BAM ",,,,,,,,,,,
61,펠리세이드,2024,169하6983,,," 	9,231 BAM "," 	9,231 BAM ",,,,,,,,,,,
62,E250,,160하4261,,,, 	- BAM 0,,,,,,,,,,,
63,싼타페,2020,128하1549,," 	40,372 BAM "," 	43,249 BAM "," 	2,877 BAM ",,,,,,,,,,,
64,더뉴그랜져,2020,128하1546,," 	49,838 BAM "," 	51,403 BAM "," 	1,565 BAM ",,,,,,,,,,,
65,뉴QM6,2023,169호6970,, 	- BAM 0," 	12,910 BAM "," 	12,910 BAM ",,,,,,,,,,,
66,뉴QM6,2023,169호6971,, 	- BAM 0," 	2,895 BAM "," 	2,895 BAM ",,,,,,,,,,,
67,뉴QM6,2023,169호6972,, 	- BAM 0, 	47 BAM , 	47 BAM ,,,,,,,,,,,
