차량명,차량번호,배기량,최초보험가입일,유종,주행거리,유류량,IMS.connect,보험연령,제조사,모델명,상세모델명
싼타페,54호0117,2000,20190226,디젤,104069,24,O,26,,,
모닝,66하1833,1000,20181227,가솔린,96842,54,O,26,,,
쏘나타,44하0182,2000,20181231,LPG,,10,O,26,,,
그랜져,10하0200,3000,20190612,LPG,72769,20,O,26,,,
그랜져,24호5711,3000,20170621,LPG,99582,25,O,26,,,
그랜져,24호5688,3000,20170609,LPG,102738,25,O,26,,,
쏘렌토,22호1562,2200,20170919,디젤,117510.1,19,O,26,,,
K5,63하6115,2000,20180504,LPG,,10,O,26,,,
그랜저,128하3563,3000,20191113,LPG,,10,O,26,,,
그랜저,145하1900,3000,20191115,LPG,63947,40,O,26,,,
K3,128하1303,1600,20200327,가솔린,81401,26,O,26,,,
K3,128하1302,1600,20200327,가솔린,,1,O,26,,,
스파크,128하1300,1000,20200327,가솔린,,78,O,26,,,
스파크,128하1301,1000,20200327,가솔린,47015.9,50,O,26,,,
레이,128하1312,1000,20200327,가솔린,589173,34,O,26,,,
모닝,128하1311,1000,20200327,가솔린,65668,17,O,26,,,
모닝,128하1308,1000,20200327,가솔린,39242,19,O,26,,,
그랜져,128하1098,3000,20200327,LPG,73428,34,O,26,,,
그랜져,128하1097,3000,20200327,LPG,73820,26,O,26,,,
K5,128하1083,2000,20200313,LPG,87687,35,O,26,,,
K5,128하1084,2000,20200313,LPG,92065,31,O,26,,,
카니발,128하1082,2200,20200313,디젤,,10,O,26,,,
카니발,128하1081,2200,20200313,디젤,130320,61,O,26,,,
SM6,128하1078,2000,20200313,LPG,67035,5,O,26,,,
QM6,128하1077,2000,20200313,LPG,56594,30,O,26,,,
QM6,128하1076,2000,20200313,LPG,57330,45,O,26,,,
아반떼AD,128하1447,1600,20200319,가솔린,73580,23,O,26,,,
아반떼,128하1448,1600,20200319,가솔린,96283,17,O,26,,,
K5,128하1086,2000,20200313,LPG,78227,55,O,26,,,
베뉴,128하1305,1600,20200327,가솔린,67391,12,O,26,,,
베뉴,128하1304,1600,20200327,가솔린,76484,15,O,26,,,
쏘나타,128하1306,2000,20200327,LPG,85713,53,O,26,,,
쏘나타,128하1307,2000,20200327,LPG,85953,60,O,26,,,
그랜드스타렉스,74허5262,2500,20200623,디젤,110394,25,O,26,,,
그랜드스타렉스,74허5263,2500,20200623,디젤,96755,25,O,26,,,
G90,128허1518,3800,20200715,가솔린,63215.2,7,O,26,,,
GV80,160하4268,3500,20210611,가솔린,64931.2,10,O,26,,,
더뉴카니발,145호5214,2200,20200317,디젤,112450,31,O,26,,,
모하비 더 마스터,146하1419,2959,20201202,디젤,68467.2,15,O,26,,,
싼타페,146하1441,2151,20210125,디젤,69475.6,17,O,26,,,
S350,169하6900,3000,20220524,디젤,,25,X,26,,,
포터 2,840수5324,2497,20220630,디젤,,1,O,26,,,
포터2냉동탑차,826나1489,2497,20220811,디젤,28555,24,O,26,,,
벤츠 E250,169호5889,1991,20221129,가솔린,,10,O,26,,,
스포티지 하이브리드,169호5891,1598,20221202,하이브리드,43477,28,O,26,,,
카니발,160허4196,3470,20221202,가솔린,70525,18,O,26,,,
그랜저,160호4276,3470,20230120,LPG,,10,O,26,,,
GN7,175호3524,3470,20230405,가솔린,27689,25,O,26,,,
벤츠 E250,169호5945,1991,20230417,가솔린,,1,O,26,,,
쏠라티,703호2150,2497,20230428,디젤,,10,O,26,,,
그랜져GN7,125호5861,2497,20230106,가솔린,32739.9,25,O,26,,,
아반떼CN7,125호5862,1598,20230106,가솔린,35608,29,O,26,,,
E250,160하4260,1991,20210520,가솔린,67086,39,O,26,,,
그랜저,128하1546,2999,20200320,LPG,63639,27,O,26,,,
싼타페,128하1549,1995,20200320,디젤,59075,95,O,26,,,
QM6,169호6972,1998,20231208,LPG,316,35,O,26,,,
QM6,169호6971,1998,20231208,LPG,90,17,O,26,,,
QM6,169호6970,1998,20231208,LPG,,10,O,26,,,
팰리세이드,169하6983,3778,20240229,가솔린,1438,78,O,26,,,
그랜저,128하1548,2999,20200320,LPG,68047.1,62,O,26,,,
스타리아,703호2057,2199,20240416,디젤,30613,33,O,26,,,
G80,169호5781,2497,20220408,가솔린,49452,30,O,26,,,
2025 스타리아 11인승,703호2058,2200,20240423,디젤,42884,50,O,26,,,
팰리세이드,169호5780,2199,20220408,디젤,60070.4,34,O,26,,,
쏠라티,703호2064,2497,20241023,디젤,23149,10,O,26,,,
싼타페,160하4261,2497,20241105,가솔린,10657,46,O,26,,,
스포티지,169호5779,1598,20220408,가솔린,47872,17,O,26,,,
그랜드스타렉스,824머3020,2497,20230205,디젤,,20,X,26,,,
2026 K5,169호6914,1999,20250624,LPG,3157,26,O,26,,,
쏘나타 디 엣지 ,169호6916,1999,20250701,LPG,1049.4,32,O,26,,,
The new 카니발 ,169호6918,2151,20250725,디젤,2057,40,O,26,,,
e200,169호6920,1999,20250825,하이브리드,,1,X,26,,,
The 2026 쏘렌토,169하6924,2497,20250903,가솔린,,25,X,26,,,
